image_id,year_true,month_true,day_true,year_pred,month_pred,day_pred,year_correct,month_correct,day_correct,final_date_correct,file_name,final_date,notes,detected_text,box_count,selected_method,failure_category
157,2027,8,7,NONE,NONE,NONE,False,False,False,False,000157.jpg,2027-08-07,,,0,original_no_candidate,OCR 미탐지
352,2026,8,27,NONE,NONE,NONE,False,False,False,False,000352.jpg,2026-08-27,,bo | 보 | 80d | 1800m990 | 이탄 | 269 26% |  0g 0% |  | 0g 0% | 단 | 1g09 1% | 특 | 09:19 | 까지 | 충북 음성군 대소면 대용신로,15,original_no_candidate,OCR 인식 실패
438,2026,2,19,NONE,NONE,NONE,False,False,False,False,000438.jpg,2026-02-19,,,0,original_no_candidate,OCR 미탐지
447,2025,11,22,NONE,NONE,NONE,False,False,False,False,000447.jpg,2025-11-22,,,0,original_no_candidate,OCR 미탐지
463,2027,2,14,2027,2,NONE,True,True,False,False,000463.jpg,2027-02-14,,"NIDIOO | 달함 | 설 | 4명소고 | * | 백설 | 임동유형 | 소설제품 | 내8링5 |  | 불고기를 |  | 소불고기 |  | 100% |  | 국신배·사과 | 5009 | 6 | 2027,02. | o5:31",21,original_512,OCR 인식 실패
485,2027,9,17,NONE,NONE,NONE,False,False,False,False,000485.jpg,2027-09-17,,,0,original_no_candidate,OCR 미탐지
515,2026,1,NONE,2022,9,22,False,False,False,False,000515.jpg,2026-01-none,,"ERC |  | 201045 46+U | 2026,01 | 영양정보 | 총내용량73 g/400 kcal | 나트륨280mg 14 %탄수화물 44 g 14 %당류 22 9 22 % | 분 기에 대한 바울(%)은 2.000kcal 기준이으로 개연의 말요 열당에 따라 다를 수 없습니다. | 8 | 8022",10,original_512,정답에 NONE 포함(별도 검토)
561,2028,8,7,NONE,NONE,NONE,False,False,False,False,000561.jpg,2028-08-07,,"·포정사살 대트이일관 조진 | 라이네폴리메털렌이Maxim 오리지날 | 1티스1.1이을 전에 넣고 적당량의 뜨거운 를 | (약 100m로 응해시킨후 기호에 맞게 설탕과 | 프리마를 넣어 드요.품질보존을 위하여 사용 | 후 뚜껑을 닫아 건조하고 직사망선을 피한 실은에 | 보관하세요.·유통과정에서 변질된 제품은 구입처 | 소비자기본법에 따른 소비자분장해결 기준에 따라 | 피해를 보상해 드립니다.•부정,불량식품 신고는 | 국번 없이 1399 •고객생담실 080-023-9114 | ·MAXIM은 몬델리즈 인터내셔널 그룹의 상표이며 | 라이선스하에 사용됩니다.•질소총전 | 유 헤 원 인천 | 까지 | 병에 불은 라벌은 따로 분리하여 배출하지 않으시도 됩니다. | 뚜정:PP | 00038 | w/y//ww.dongsuh.co.kr",18,original_no_candidate,OCR 인식 실패
645,2026,5,13,2025,5,13,False,True,True,False,000645.jpg,2026-05-13,,"2025-5-13 | L139:51 | No Brand | 브랜드가 아니다.소비자다 | 보관 | 수입원(주)이마트/ | 전화:02,380.56%8 | 소비기한 용기 상단 | 별도표시일까지 | (년.월.일 준) | 한 | 원재료명사과주스 | 01",13,highres_1024,OCR 인식 실패
715,2026,6,26,2026,6,NONE,True,True,False,False,000715.jpg,2026-06-26,"DD/MM/YYYY, 흐림, 반사있음",영양정보 | 당류20g 20% | 탄수화물 34g 10% | 포화지방9 | 나트륨 130mg 7% | 비닐류 | 트랜스지방 0g | 0% | 단백질40 | 콜레스테롤 | THER | EXF:2E06 2026,12,highres_1024,OCR 인식 실패
763,NONE,11,12,NONE,NONE,NONE,True,False,False,False,000763.jpg,none-11-12,,"240mL/195kcal | 7g8%당류27g27% | 원유78%,미론 | #뜰얼 | 방4.5g30% | 농추고집고형분 | 6g11% | 65%)0.1% | 11.12 | 05AIF2 | EPC",11,original_no_candidate,정답에 NONE 포함(별도 검토)
789,NONE,12,19,NONE,NONE,NONE,True,False,False,False,000789.jpeg,none-12-19,,2+1 | 12.19 D1758 | 0O배,3,original_no_candidate,정답에 NONE 포함(별도 검토)
912,2022,5,5,2022,5,NONE,True,True,False,False,000912.jpg,2022-05-05,,네스하을맛있 | 인도는방법 | 영양정보 | 2 | 60 | WEa | 9 | VB | EN | tie. |  | 120 | 네습레에게아이기하세요 | SS3 |  | 2022.05. | 03003657 | 05 | 07-54 | VL,20,highres_1024,OCR 인식 실패
922,2022,2,26,2022,2,NONE,True,True,False,False,000922.jpg,2022-02-26,,RUC로 | PAPER | 가이스페이피 | EXP:2022/02 | ‘26 | AU,6,highres_1024,파서 선택/해석 오류
1205,2021,5,NONE,NONE,NONE,NONE,False,False,True,False,001205.jpg,2021-05-none,,Hier öffnen | ⑥ | Dr.Oetker | VITALIS | 05.21 L095 2 | Mindestens haltbar bis Ende: Monat/lahr | müsli | Plus | MULTI-FRUCHT | Dr.Oetker,10,original_no_candidate,정답에 NONE 포함(별도 검토)
1214,2021,5,15,NONE,NONE,NONE,False,False,False,False,001214.jpg,2021-05-15,,"ltem Name | Net Weight | -PEACH FB1913 | dium citrate | od industrial | each juice, peach flavor and natural color (gardenia | Address : No.107, Nankang 3rd Rd, Nantou City. | ww.sophisca.com  Made in Taiwan • Allergy Inform | icacid, | PHISCA | Lounty, | NUTRI | ade on | Sering Per | CTS | Quantiy Pel | Expiry Date | 20g | 2821.85.15 | Kcal | Trans Fat | holesterol | 502200 | arbohydrat | 60",25,original_no_candidate,OCR 인식 실패
1321,2022,2,15,2022,2,NONE,True,True,False,False,001321.jpg,2022-02-15,,"란쿠키 | 2022.02.15812:25 | 과자 | 주대산후드/경기도 파주시 | 단현면 방촌로 541-50 | 영양정보 | 총 내용량 | 30g 당 151 | 2원 | 중구남대문로8(소공동 | 30g당 | 1일영양병문 | 후면 표시일까지 | 기준치에 대한 비을 | 한 | 4% | 286m | 내인 폴리에일렌 | 탄수화을209 | 6% | 809 | 재79 | 9% | 트랜스지방 09 | 13% | 로명 |  | 지 32g 21% | , | 스15mg 5% |  | 단백질 1.79 | 계란,우유,대두,일힘유 | 21 | 8",35,original_512,파서 선택/해석 오류
